SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2017cjv
RA: 152.6901993
DECL: -3.7775206
MWEBV: 0.0260 +- 0.0013
FILTERS: griz
REDSHIFT_HELIO: 0.0595280 +- 0.0001400
REDSHIFT_FINAL: 0.0607192 +- 0.0001400
SEARCH_PEAKMJD: 57839.39719
HOSTGAL_LOGMASS: 10.636 +- 0.013
VPEC: 10.468
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 32
NVAR: 9
VARLIST:      MJD   FLT       FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57839.39719     g      6688.015        165.258    17.937     0.027  3.01
OBS:  57843.35199     g      6260.147        177.579    18.009     0.031  3.03
OBS:  57863.25527     g      1243.852         80.229    19.763     0.070  1.76
OBS:  57868.30967     g       615.650        140.961    20.527     0.247  2.45
OBS:  57881.25819     g       605.465        160.012    20.545     0.285  2.10
OBS:  57839.39759     r      5883.195        142.014    18.076     0.026  2.61
OBS:  57843.35239     r      5798.269        152.912    18.092     0.029  2.57
OBS:  57863.25566     r      2657.531         88.605    18.939     0.036  1.54
OBS:  57868.31007     r      1460.830        120.666    19.589     0.089  2.50
OBS:  57881.25860     r       959.627        128.674    20.045     0.145  1.97
OBS:  57839.39795     i      3971.243        138.092    18.503     0.038  2.49
OBS:  57843.35275     i      3867.466        127.249    18.531     0.036  2.11
OBS:  57863.25602     i      2221.437         99.832    19.133     0.049  1.46
OBS:  57868.31042     i      1475.537        125.791    19.578     0.092  2.29
OBS:  57881.25895     i      1001.254        134.694    19.999     0.145  2.00
OBS:  57854.37908     i      1915.637        161.950    19.294     0.091  1.61
OBS:  57854.39209     i      1396.927        332.900    19.637     0.257  2.23
OBS:  57854.40505     i      1656.296        170.502    19.452     0.111  1.82
OBS:  57854.41798     i      1878.430        174.342    19.316     0.100  2.01
OBS:  57882.25620     i       766.839         79.965    20.288     0.113  2.17
OBS:  57882.26876     i       636.706         67.545    20.490     0.115  1.73
OBS:  57882.28129     i       775.047         80.120    20.277     0.112  2.14
OBS:  57882.29379     i       784.786         75.075    20.263     0.103  1.96
OBS:  57883.25708     i       678.701         59.759    20.421     0.095  1.71
OBS:  57883.26890     i       905.123         65.361    20.108     0.078  1.71
OBS:  57883.28075     i       743.151         60.454    20.322     0.088  1.66
OBS:  57883.29262     i       794.373        103.003    20.250     0.140  2.66
OBS:  57839.39830     z      3695.731        177.123    18.581     0.052  2.28
OBS:  57843.35311     z      3256.108        160.258    18.718     0.053  1.75
OBS:  57863.25638     z      2089.053        155.109    19.200     0.080  1.69
OBS:  57868.31078     z      1010.495        170.943    19.989     0.183  1.92
OBS:  57881.25932     z       888.021        167.414    20.129     0.204  1.71
END:
